LEADER,WATER,ACID,GO,RUN
MILNER,WATER,ACID,GO,RUN
SNIPER,WATER,ACID,GO,RUN
BOMBER,WATER,ACID,GO,RUN
NIGIIT,WATER,ACID,GO,RUN
LONDON,WATER,ACID,GO,RUN
SECURE,WATER,ACID,GO,RUN
MILLER,WATER,ACID,GO,RUN
MULLER,WATER,ACID,GO,RUN
LEADER,SQUAD,ACID,GO,RUN
MILNER,SQUAD,ACID,GO,RUN
SNIPER,SQUAD,ACID,GO,RUN
BOMBER,SQUAD,ACID,GO,RUN
NIGIIT,SQUAD,ACID,GO,RUN
LONDON,SQUAD,ACID,GO,RUN
SECURE,SQUAD,ACID,GO,RUN
MILLER,SQUAD,ACID,GO,RUN
MULLER,SQUAD,ACID,GO,RUN
LEADER,SHELL,ACID,GO,RUN
MILNER,SHELL,ACID,GO,RUN
SNIPER,SHELL,ACID,GO,RUN
BOMBER,SHELL,ACID,GO,RUN
NIGIIT,SHELL,ACID,GO,RUN
LONDON,SHELL,ACID,GO,RUN
SECURE,SHELL,ACID,GO,RUN
MILLER,SHELL,ACID,GO,RUN
MULLER,SHELL,ACID,GO,RUN
LEADER,RIGHT,ACID,GO,RUN
MILNER,RIGHT,ACID,GO,RUN
SNIPER,RIGHT,ACID,GO,RUN
BOMBER,RIGHT,ACID,GO,RUN
NIGIIT,RIGHT,ACID,GO,RUN
LONDON,RIGHT,ACID,GO,RUN
SECURE,RIGHT,ACID,GO,RUN
MILLER,RIGHT,ACID,GO,RUN
MULLER,RIGHT,ACID,GO,RUN
LEADER,NORTH,ACID,GO,RUN
MILNER,NORTH,ACID,GO,RUN
SNIPER,NORTH,ACID,GO,RUN
BOMBER,NORTH,ACID,GO,RUN
NIGIIT,NORTH,ACID,GO,RUN
LONDON,NORTH,ACID,GO,RUN
SECURE,NORTH,ACID,GO,RUN
MILLER,NORTH,ACID,GO,RUN
MULLER,NORTH,ACID,GO,RUN
LEADER,SOUTH,ACID,GO,RUN
MILNER,SOUTH,ACID,GO,RUN
SNIPER,SOUTH,ACID,GO,RUN
BOMBER,SOUTH,ACID,GO,RUN
NIGIIT,SOUTH,ACID,GO,RUN
LONDON,SOUTH,ACID,GO,RUN
SECURE,SOUTH,ACID,GO,RUN
MILLER,SOUTH,ACID,GO,RUN
MULLER,SOUTH,ACID,GO,RUN
LEADER,ENEMY,ACID,GO,RUN
MILNER,ENEMY,ACID,GO,RUN
SNIPER,ENEMY,ACID,GO,RUN
BOMBER,ENEMY,ACID,GO,RUN
NIGIIT,ENEMY,ACID,GO,RUN
LONDON,ENEMY,ACID,GO,RUN
SECURE,ENEMY,ACID,GO,RUN
MILLER,ENEMY,ACID,GO,RUN
MULLER,ENEMY,ACID,GO,RUN
LEADER,RANGE,ACID,GO,RUN
MILNER,RANGE,ACID,GO,RUN
SNIPER,RANGE,ACID,GO,RUN
BOMBER,RANGE,ACID,GO,RUN
NIGIIT,RANGE,ACID,GO,RUN
LONDON,RANGE,ACID,GO,RUN
SECURE,RANGE,ACID,GO,RUN
MILLER,RANGE,ACID,GO,RUN
MULLER,RANGE,ACID,GO,RUN
LEADER,TROOP,ACID,GO,RUN
MILNER,TROOP,ACID,GO,RUN
SNIPER,TROOP,ACID,GO,RUN
BOMBER,TROOP,ACID,GO,RUN
NIGIIT,TROOP,ACID,GO,RUN
LONDON,TROOP,ACID,GO,RUN
SECURE,TROOP,ACID,GO,RUN
MILLER,TROOP,ACID,GO,RUN
MULLER,TROOP,ACID,GO,RUN
LEADER,WATER,AREA,GO,RUN
MILNER,WATER,AREA,GO,RUN
SNIPER,WATER,AREA,GO,RUN
BOMBER,WATER,AREA,GO,RUN
NIGIIT,WATER,AREA,GO,RUN
LONDON,WATER,AREA,GO,RUN
SECURE,WATER,AREA,GO,RUN
MILLER,WATER,AREA,GO,RUN
MULLER,WATER,AREA,GO,RUN
LEADER,SQUAD,AREA,GO,RUN
MILNER,SQUAD,AREA,GO,RUN
SNIPER,SQUAD,AREA,GO,RUN
BOMBER,SQUAD,AREA,GO,RUN
NIGIIT,SQUAD,AREA,GO,RUN
LONDON,SQUAD,AREA,GO,RUN
SECURE,SQUAD,AREA,GO,RUN
MILLER,SQUAD,AREA,GO,RUN
MULLER,SQUAD,AREA,GO,RUN
LEADER,SHELL,AREA,GO,RUN
MILNER,SHELL,AREA,GO,RUN
SNIPER,SHELL,AREA,GO,RUN
BOMBER,SHELL,AREA,GO,RUN
NIGIIT,SHELL,AREA,GO,RUN
LONDON,SHELL,AREA,GO,RUN
SECURE,SHELL,AREA,GO,RUN
MILLER,SHELL,AREA,GO,RUN
MULLER,SHELL,AREA,GO,RUN
LEADER,RIGHT,AREA,GO,RUN
MILNER,RIGHT,AREA,GO,RUN
SNIPER,RIGHT,AREA,GO,RUN
BOMBER,RIGHT,AREA,GO,RUN
NIGIIT,RIGHT,AREA,GO,RUN
LONDON,RIGHT,AREA,GO,RUN
SECURE,RIGHT,AREA,GO,RUN
MILLER,RIGHT,AREA,GO,RUN
MULLER,RIGHT,AREA,GO,RUN
LEADER,NORTH,AREA,GO,RUN
MILNER,NORTH,AREA,GO,RUN
SNIPER,NORTH,AREA,GO,RUN
BOMBER,NORTH,AREA,GO,RUN
NIGIIT,NORTH,AREA,GO,RUN
LONDON,NORTH,AREA,GO,RUN
SECURE,NORTH,AREA,GO,RUN
MILLER,NORTH,AREA,GO,RUN
MULLER,NORTH,AREA,GO,RUN
LEADER,SOUTH,AREA,GO,RUN
MILNER,SOUTH,AREA,GO,RUN
SNIPER,SOUTH,AREA,GO,RUN
BOMBER,SOUTH,AREA,GO,RUN
NIGIIT,SOUTH,AREA,GO,RUN
LONDON,SOUTH,AREA,GO,RUN
SECURE,SOUTH,AREA,GO,RUN
MILLER,SOUTH,AREA,GO,RUN
MULLER,SOUTH,AREA,GO,RUN
LEADER,ENEMY,AREA,GO,RUN
MILNER,ENEMY,AREA,GO,RUN
SNIPER,ENEMY,AREA,GO,RUN
BOMBER,ENEMY,AREA,GO,RUN
NIGIIT,ENEMY,AREA,GO,RUN
LONDON,ENEMY,AREA,GO,RUN
SECURE,ENEMY,AREA,GO,RUN
MILLER,ENEMY,AREA,GO,RUN
MULLER,ENEMY,AREA,GO,RUN
LEADER,RANGE,AREA,GO,RUN
MILNER,RANGE,AREA,GO,RUN
SNIPER,RANGE,AREA,GO,RUN
BOMBER,RANGE,AREA,GO,RUN
NIGIIT,RANGE,AREA,GO,RUN
LONDON,RANGE,AREA,GO,RUN
SECURE,RANGE,AREA,GO,RUN
MILLER,RANGE,AREA,GO,RUN
MULLER,RANGE,AREA,GO,RUN
LEADER,TROOP,AREA,GO,RUN
MILNER,TROOP,AREA,GO,RUN
SNIPER,TROOP,AREA,GO,RUN
BOMBER,TROOP,AREA,GO,RUN
NIGIIT,TROOP,AREA,GO,RUN
