TORPEDO,ACID,ACID,RUN
GENERAL,ACID,ACID,RUN
CAPTAIN,ACID,ACID,RUN
BARRAGE,ACID,ACID,RUN
CITADEL,ACID,ACID,RUN
FIGHTER,ACID,ACID,RUN
MORNING,ACID,ACID,RUN
EVENING,ACID,ACID,RUN
COMMAND,ACID,ACID,RUN
TORPEDO,AREA,ACID,RUN
GENERAL,AREA,ACID,RUN
CAPTAIN,AREA,ACID,RUN
BARRAGE,AREA,ACID,RUN
CITADEL,AREA,ACID,RUN
FIGHTER,AREA,ACID,RUN
MORNING,AREA,ACID,RUN
EVENING,AREA,ACID,RUN
COMMAND,AREA,ACID,RUN
TORPEDO,FIRE,ACID,RUN
GENERAL,FIRE,ACID,RUN
CAPTAIN,FIRE,ACID,RUN
BARRAGE,FIRE,ACID,RUN
CITADEL,FIRE,ACID,RUN
FIGHTER,FIRE,ACID,RUN
MORNING,FIRE,ACID,RUN
EVENING,FIRE,ACID,RUN
COMMAND,FIRE,ACID,RUN
TORPEDO,SHIP,ACID,RUN
GENERAL,SHIP,ACID,RUN
CAPTAIN,SHIP,ACID,RUN
BARRAGE,SHIP,ACID,RUN
CITADEL,SHIP,ACID,RUN
FIGHTER,SHIP,ACID,RUN
MORNING,SHIP,ACID,RUN
EVENING,SHIP,ACID,RUN
COMMAND,SHIP,ACID,RUN
TORPEDO,WALK,ACID,RUN
GENERAL,WALK,ACID,RUN
CAPTAIN,WALK,ACID,RUN
BARRAGE,WALK,ACID,RUN
CITADEL,WALK,ACID,RUN
FIGHTER,WALK,ACID,RUN
MORNING,WALK,ACID,RUN
EVENING,WALK,ACID,RUN
COMMAND,WALK,ACID,RUN
TORPEDO,JOHN,ACID,RUN
GENERAL,JOHN,ACID,RUN
CAPTAIN,JOHN,ACID,RUN
BARRAGE,JOHN,ACID,RUN
CITADEL,JOHN,ACID,RUN
FIGHTER,JOHN,ACID,RUN
MORNING,JOHN,ACID,RUN
EVENING,JOHN,ACID,RUN
COMMAND,JOHN,ACID,RUN
TORPEDO,MOVE,ACID,RUN
GENERAL,MOVE,ACID,RUN
CAPTAIN,MOVE,ACID,RUN
BARRAGE,MOVE,ACID,RUN
CITADEL,MOVE,ACID,RUN
FIGHTER,MOVE,ACID,RUN
MORNING,MOVE,ACID,RUN
EVENING,MOVE,ACID,RUN
COMMAND,MOVE,ACID,RUN
TORPEDO,CITY,ACID,RUN
GENERAL,CITY,ACID,RUN
CAPTAIN,CITY,ACID,RUN
BARRAGE,CITY,ACID,RUN
CITADEL,CITY,ACID,RUN
FIGHTER,CITY,ACID,RUN
MORNING,CITY,ACID,RUN
EVENING,CITY,ACID,RUN
COMMAND,CITY,ACID,RUN
TORPEDO,JACK,ACID,RUN
GENERAL,JACK,ACID,RUN
CAPTAIN,JACK,ACID,RUN
BARRAGE,JACK,ACID,RUN
CITADEL,JACK,ACID,RUN
FIGHTER,JACK,ACID,RUN
MORNING,JACK,ACID,RUN
EVENING,JACK,ACID,RUN
COMMAND,JACK,ACID,RUN
TORPEDO,FROM,ACID,RUN
GENERAL,FROM,ACID,RUN
CAPTAIN,FROM,ACID,RUN
BARRAGE,FROM,ACID,RUN
CITADEL,FROM,ACID,RUN
FIGHTER,FROM,ACID,RUN
MORNING,FROM,ACID,RUN
EVENING,FROM,ACID,RUN
COMMAND,FROM,ACID,RUN
TORPEDO,WILL,ACID,RUN
GENERAL,WILL,ACID,RUN
CAPTAIN,WILL,ACID,RUN
BARRAGE,WILL,ACID,RUN
CITADEL,WILL,ACID,RUN
FIGHTER,WILL,ACID,RUN
MORNING,WILL,ACID,RUN
EVENING,WILL,ACID,RUN
COMMAND,WILL,ACID,RUN
TORPEDO,LEFT,ACID,RUN
GENERAL,LEFT,ACID,RUN
CAPTAIN,LEFT,ACID,RUN
BARRAGE,LEFT,ACID,RUN
CITADEL,LEFT,ACID,RUN
FIGHTER,LEFT,ACID,RUN
MORNING,LEFT,ACID,RUN
EVENING,LEFT,ACID,RUN
COMMAND,LEFT,ACID,RUN
TORPEDO,EAST,ACID,RUN
GENERAL,EAST,ACID,RUN
CAPTAIN,EAST,ACID,RUN
BARRAGE,EAST,ACID,RUN
CITADEL,EAST,ACID,RUN
FIGHTER,EAST,ACID,RUN
MORNING,EAST,ACID,RUN
EVENING,EAST,ACID,RUN
COMMAND,EAST,ACID,RUN
TORPEDO,WEST,ACID,RUN
GENERAL,WEST,ACID,RUN
CAPTAIN,WEST,ACID,RUN
BARRAGE,WEST,ACID,RUN
CITADEL,WEST,ACID,RUN
FIGHTER,WEST,ACID,RUN
MORNING,WEST,ACID,RUN
EVENING,WEST,ACID,RUN
COMMAND,WEST,ACID,RUN
TORPEDO,TANK,ACID,RUN
GENERAL,TANK,ACID,RUN
CAPTAIN,TANK,ACID,RUN
BARRAGE,TANK,ACID,RUN
CITADEL,TANK,ACID,RUN
FIGHTER,TANK,ACID,RUN
MORNING,TANK,ACID,RUN
EVENING,TANK,ACID,RUN
COMMAND,TANK,ACID,RUN
TORPEDO,ACID,AREA,RUN
GENERAL,ACID,AREA,RUN
CAPTAIN,ACID,AREA,RUN
BARRAGE,ACID,AREA,RUN
